0;00.0
1;01.4
2;02.9
3;04.3
4;05.7
5;07.2
6;08.6
7;10.1
8;11.5
9;12.9
10;14.4
11;15.8
12;17.2
13;18.7
14;20.1
15;21.6
16;23.0
17;24.4
18;25.9
19;27.3
20;28.7
21;30.2
22;31.6
23;33.1
24;34.5
25;35.9
26;37.4
27;38.8
28;40.2
29;41.7
30;43.1
31;44.5
32;46.0
33;47.4
34;48.9
35;50.3
36;51.7
37;53.2
38;54.6
39;56.0
40;57.5
41;58.9
42;60.4
43;61.8
44;63.2
45;64.7
46;66.1
47;67.5
48;69.0
49;70.4
50;71.9
51;73.3
52;74.7
53;76.2
54;77.6
55;79.0
56;80.5
57;81.9
58;83.3
59;84.8
60;85.0
61;85.2
62;85.4
63;85.7
64;85.9
65;86.1
66;86.3
67;86.6
68;86.8
69;87.0
70;87.2
71;87.5
72;87.7
73;87.9
74;88.1
75;88.4
76;88.6
77;88.8
78;89.0
79;89.3
80;89.5
81;89.7
82;89.9
83;90.2
84;90.4
85;90.6
86;90.8
87;91.0
88;91.3
89;91.5
90;91.7
91;91.9
92;92.2
93;92.4
94;92.6
95;92.8
96;93.1
97;93.3
98;93.5
99;93.7
100;94.0
101;94.2
102;94.4
103;94.6
104;94.9
105;95.1
106;95.3
107;95.5
108;95.8
109;96.0
110;96.2
111;96.4
112;96.6
113;96.9
114;97.1
115;97.3
116;97.5
117;97.8
118;98.0
119;98.2
120;98.4
121;98.7
122;98.9
123;99.1
124;99.3
125;99.6
126;99.8
127;99.9
